file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
RQ1-bound-2/signalsFiles/f:01-nw:015-ml:06-0.signal,2,30,6,"G(F[0.00625,2.0]p)",2,TRUE,18.71,7.13,5400
RQ1-bound-2/signalsFiles/f:01-nw:020-ml:04-0.signal,2,40,4,"G(F[0.0,2.0]p)",2,TRUE,27.89,11.60,5400
RQ1-bound-2/signalsFiles/f:01-nw:020-ml:05-0.signal,2,40,5,"G(F[0.0,2.0]p)",2,TRUE,29.29,12.90,5400
RQ1-bound-2/signalsFiles/f:01-nw:020-ml:06-0.signal,2,40,6,"G(F[0.1,2.0]p)",2,TRUE,47.16,30.03,5400
RQ1-bound-2/signalsFiles/f:02-nw:005-ml:04-0.signal,2,10,4,"G(p | (F[1.3,1.6]q))",4,TRUE,255.11,212.18,5400
RQ1-bound-2/signalsFiles/f:02-nw:005-ml:05-0.signal,2,10,5,"G(q | (G[1.49375,1.8875]p))",4,TRUE,592.06,550.03,5400
RQ1-bound-2/signalsFiles/f:02-nw:005-ml:06-0.signal,2,10,6,"G(F[0.0,2.0]q)",2,TRUE,5.09,1.48,5400
RQ1-bound-2/signalsFiles/f:02-nw:010-ml:04-0.signal,2,20,4,"G(p | (F[0.909375,1.603125]q))",4,TRUE,"2,024.26","1,939.54",5400
RQ1-bound-2/signalsFiles/f:02-nw:010-ml:05-0.signal,2,20,5,"G(p | (F[0.0,1.5]q))",4,TRUE,"1,318.49","1,232.18",5400
RQ1-bound-2/signalsFiles/f:02-nw:010-ml:06-0.signal,2,20,6,"G((F[0.0,2.0]q) | p)",4,TRUE,"1,155.87","1,069.93",5400
RQ1-bound-2/signalsFiles/f:02-nw:015-ml:04-0.signal,2,30,4,"G(p | (F[0.0,2.0]q))",4,TRUE,"1,979.20","1,847.23",5400
RQ1-bound-2/signalsFiles/f:02-nw:015-ml:05-0.signal,2,30,5,"G((F[0.0,1.403125]q) | p)",4,TRUE,"4,066.51","3,925.11",5400
RQ1-bound-2/signalsFiles/f:02-nw:015-ml:06-0.signal,2,30,6,"G(p | (F[0.0,2.0]q))",4,TRUE,"3,856.95","3,723.51",5400
RQ1-bound-2/signalsFiles/f:02-nw:020-ml:04-0.signal,2,40,4,"G(p | (F[0.0,2.0]q))",4,TRUE,"4,507.32","4,320.79",5400
RQ1-bound-2/signalsFiles/f:02-nw:020-ml:05-0.signal,2,40,5,"G(p | (F[0.0,2.0]q))",4,TRUE,"5,165.54","4,982.50",5400
RQ1-bound-2/signalsFiles/f:02-nw:020-ml:06-0.signal,2,40,6,,,,,,5400
RQ1-bound-2/signalsFiles/f:03-nw:020-ml:04-0.signal,2,40,4,,,,,,5400
RQ1-bound-2/signalsFiles/f:03-nw:005-ml:05-0.signal,2,10,5,G(q | p),3,TRUE,30.11,14.20,5400
RQ1-bound-2/signalsFiles/f:03-nw:005-ml:04-0.signal,2,10,4,"G((G[1.00625,1.59375]q) | p)",4,TRUE,464.49,422.48,5400
RQ1-bound-2/signalsFiles/f:03-nw:010-ml:06-0.signal,2,20,6,,,,,,5400
RQ1-bound-2/signalsFiles/f:03-nw:020-ml:05-0.signal,2,40,5,,,,,,5400
RQ1-bound-2/signalsFiles/f:03-nw:015-ml:06-0.signal,2,30,6,,,,,,5400
RQ1-bound-2/signalsFiles/f:03-nw:005-ml:06-0.signal,2,10,6,"G(p | (q U[1.7125,1.8] p))",4,TRUE,"1,222.74","1,180.55",5400
RQ1-bound-2/signalsFiles/f:03-nw:010-ml:04-0.signal,2,20,4,"G((G[0.004166666666666667,1.4020833333333333]q) | p)",4,TRUE,"2,019.64","1,931.94",5400
RQ1-bound-2/signalsFiles/f:03-nw:015-ml:04-0.signal,2,30,4,"G((G[0.196875,1.403125]q) | p)",4,TRUE,"3,173.25","3,038.85",5400
RQ1-bound-2/signalsFiles/f:03-nw:010-ml:05-0.signal,2,20,5,"G((G[0.103125,0.103125]q) | p)",4,TRUE,"2,067.09","1,975.17",5400
RQ1-bound-2/signalsFiles/f:03-nw:015-ml:05-0.signal,2,30,5,"G(p | (G[0.096875,0.496875]q))",4,TRUE,"3,310.67","3,176.32",5400
RQ1-bound-2/signalsFiles/f:03-nw:020-ml:06-0.signal,2,40,6,,,,,,5400
RQ1-bound-2/signalsFiles/f:04-nw:010-ml:06-0.signal,2,20,6,"G(p U[0.0,2.0] q)",3,TRUE,227.22,193.42,5400
RQ1-bound-2/signalsFiles/f:04-nw:020-ml:05-0.signal,2,40,5,"G(p U[0.0,2.0] q)",3,TRUE,"1,054.45",984.85,5400
RQ1-bound-2/signalsFiles/f:04-nw:015-ml:06-0.signal,2,30,6,"G(p U[0.0,2.0] q)",3,TRUE,509.09,459.12,5400
RQ1-bound-2/signalsFiles/f:04-nw:005-ml:04-0.signal,2,10,4,"G(p U[0.0,2.0] q)",3,TRUE,45.25,29.60,5400
